sample_barcode,patient_barcode,CNV_PC1,CNV_PC2,CNV_PC3,CNV_PC4,CNV_PC5,CNV_PC6,CNV_PC7,CNV_PC8,CNV_PC9,CNV_PC10,CNV_PC11,CNV_PC12,CNV_PC13,CNV_PC14,CNV_PC15,CNV_PC16,CNV_PC17,CNV_PC18,CNV_PC19,CNV_PC20,CNV_PC21,CNV_PC22,CNV_PC23,CNV_PC24,CNV_PC25,CNV_PC26,CNV_PC27,CNV_PC28,CNV_PC29,CNV_PC30
TCGA-BR-6455-01,TCGA-BR-6455,-6.316476828851518,14.238750947632717,-21.684179436170837,5.960005161056759,-1.7464314177497757,1.3422300985880011,-2.1067138354364565,-2.814692961100855,-0.4802728815424772,1.2264134576042218,0.5525074073633073,-1.2383947523958954,-0.9296192415600467,-0.976176243316614,-0.23719302579810672,-0.6000140289031826,1.5733857338239805,-0.09163252838715853,-0.4028398588212601,-0.2768413548958334,0.698187569189713,0.46217169617757886,0.5480553907211076,0.5732805579828704,0.09751715589667505,0.8355233596411601,-0.798003210807126,-0.23768968630884937,-1.0003931969661342,0.14665992619929746
TCGA-BR-6456-01,TCGA-BR-6456,1.3936901822752532,-27.67803859389726,10.871869943915563,-21.748228853052975,-16.454855420842964,21.197505900601236,4.268530728784827,-29.012733798560284,-13.124057639690108,-8.95981940542145,14.109447739434371,-1.3934348383347912,0.6424961888192442,0.4466216704658151,0.610034237602795,12.221486068867284,-11.410945496086677,11.917545035163533,-1.702646880070969,-1.8252053442378275,-1.2502237313176279,-7.1389333987084305,-3.4550086422716615,-6.914517000617588,4.842973860214963,-1.1797597667972985,-6.763418216140947,0.8317900774477407,-0.6627408811447932,-3.9379700539774105
TCGA-BR-6457-01,TCGA-BR-6457,27.73660081606514,0.1724232229448863,-26.237787579949625,2.4094462419189226,5.658170205552273,16.892676669833953,6.249677222505852,-5.398927047335062,-6.351949039810785,7.958690683317589,-1.1632863235152695,-2.421268376072402,-0.2695097876343761,2.9196517512849645,2.129358373196416,11.46518363568743,1.546587870076528,7.562083436719512,1.9586523018806274,-5.156508525982608,8.68161623877429,-0.3465356533473023,5.370322426496122,-1.6052918312725057,-2.171656778328301,0.6643394739446437,-1.31159490362409,3.541801457672932,-5.363977158316991,3.135980642498578
TCGA-BR-6458-01,TCGA-BR-6458,38.22515197411637,12.929290885967708,-13.899301675128552,-1.2782772489852559,0.8699619346176456,3.019145491621805,-14.642322049891696,14.010608238424663,-2.885290587871331,-7.936078780044221,10.976570513425354,-8.25786090063757,11.527148334053743,-2.5485652321348047,5.041434953450386,9.82241962172258,1.767313336353022,-6.64738379325969,2.0353639958740035,11.137419866039034,-1.4156324399725149,-12.10466410301045,-7.519897020521075,-5.190896995147012,3.2847961809563593,-4.785484670467425,3.11901603344097,1.4322258799184373,-1.1517534315154077,6.839934447145123
TCGA-BR-6564-01,TCGA-BR-6564,-12.096491320547662,30.538155716894956,22.136848256238867,-9.011459305671771,-22.94048581598182,34.32678106591692,-6.377213892848719,2.1802894647168984,2.368904821342479,-26.628745537252797,10.803521935666975,1.7910465220449157,-6.956123259439151,-6.39229952458557,4.159026937325933,6.262543743426955,-1.8308516297027218,13.506937231719098,-1.7417089429687378,1.6643064946756543,-11.915498879351253,5.646052775836078,-0.9028698082376749,5.520970900750374,-1.7622365146322738,5.992433009497699,7.502040334947894,-0.19091782418094277,-5.2237723417029756,2.4041135077319225
TCGA-BR-6565-01,TCGA-BR-6565,-15.096965804958606,-23.024441041375308,6.241354886103065,-3.5422433463403036,14.169280900241574,-27.13476441052524,-6.303217750773694,-25.02757561657835,25.610329597467008,7.687740930557351,-11.599497493327442,-0.6746863142471737,-5.9413847328282925,0.19088415618321974,6.8961788455569435,0.7926030911682358,3.0036154540316296,4.267647763639078,2.6367793295296695,-2.984542166567724,4.174304391318877,-0.8078053746828772,-4.5375317624280855,-2.0988361636300144,-2.203328740745422,-1.4994768365851523,3.1494818578615007,-3.006779773654689,-7.048684413140488,-2.5701054428755463
TCGA-BR-6566-01,TCGA-BR-6566,-10.620480997242822,-24.42840044467659,-1.3363598802321617,11.174585915796468,4.061085125569094,-9.169487305708612,5.346946461911809,9.172315390378904,1.9675124184105544,-5.2816665853533475,2.321528260875138,-4.663938897305098,0.4658168484266294,-1.487327913902255,0.01760782196220426,-0.7368753328509248,0.12447607001991082,-0.15650646521935338,0.07743016313936243,0.8806788484929472,-0.2636826541527778,0.16687509907733047,-1.0959313528247854,-0.2570451897665101,0.3475259218780561,-0.47026942129755583,0.48105381911190204,1.1254679871436364,-0.7243489167877497,-1.6900296817585099
TCGA-BR-6705-01,TCGA-BR-6705,-2.3625972641471686,-28.941203457428117,15.268175045652173,11.661417001779279,-12.6769196652606,-13.678974973654883,7.158150183833717,14.514203342531749,-0.2935181350769027,-10.515211348988187,-1.141536370375557,-2.9606108930077726,2.435671326532368,1.0174728324624687,1.9450773740171683,-0.21947405993323232,6.0528975762140025,4.623164775449416,-6.967291678925945,1.7401225700417047,0.2968882916699781,-1.339890949147186,0.21711344463936846,-2.088882639135889,5.046798105461877,-0.6058426702113598,1.746635113410357,0.5081195369546927,-0.24887986947795276,-3.668150309119921
TCGA-BR-6706-01,TCGA-BR-6706,-11.286291260555519,-21.55991145389661,-3.572109005075835,-11.475583014007375,-13.138736719893132,-11.708315347861918,4.3549606402490655,3.592713518167315,0.2226583546997777,-2.0254985403088974,-0.34816018728610254,-4.861138058670214,-2.926287861795171,-3.970465866112509,1.2368374570449705,2.5449805853392364,-1.458542095845912,-0.916987790080121,-1.0856222844685528,0.4085763594668771,-2.3675444187912382,-1.136927050449536,0.2622683810099665,-1.5931027458657239,-0.17802590650197445,-2.0008594169372746,-0.8357939897656402,-1.378771260850685,1.8389954190807078,1.5466015029793359
TCGA-BR-6707-01,TCGA-BR-6707,-34.72143399207033,23.673523596169808,-10.08356251949819,5.164943991104438,-6.832538424837013,4.342270614682028,2.3280490909547513,0.9443049367281547,2.5121245249654924,2.5072786328377754,1.9418403252730823,-1.4304517840317406,0.05012848343728594,-4.687904202166616,-0.280609841038654,-0.8247535514001771,2.323653711220904,0.3026512482992658,-0.7987269062257234,-0.140179160700459,-0.15613146304863917,1.5364269684653165,-0.11257326938670606,0.4609885072088307,0.1663761789168898,1.06352099933814,-0.4701017380124783,-0.5625628422687246,0.2501484869044442,-0.41972875130569925
