sample_barcode,patient_barcode
TCGA-RD-A8NB-01,TCGA-RD-A8NB
TCGA-SW-A7EA-01,TCGA-SW-A7EA
TCGA-SW-A7EB-01,TCGA-SW-A7EB
TCGA-VQ-A8DT-01,TCGA-VQ-A8DT
TCGA-VQ-A8DU-01,TCGA-VQ-A8DU
TCGA-VQ-A8E0-01,TCGA-VQ-A8E0
TCGA-VQ-A8E2-01,TCGA-VQ-A8E2
TCGA-VQ-A8E3-01,TCGA-VQ-A8E3
TCGA-VQ-A8E7-01,TCGA-VQ-A8E7
TCGA-VQ-A8P2-01,TCGA-VQ-A8P2
TCGA-VQ-A8P3-01,TCGA-VQ-A8P3
TCGA-VQ-A8P5-01,TCGA-VQ-A8P5
TCGA-VQ-A8PC-01,TCGA-VQ-A8PC
TCGA-VQ-A8PD-01,TCGA-VQ-A8PD
TCGA-VQ-A8PE-01,TCGA-VQ-A8PE
TCGA-VQ-A8PF-01,TCGA-VQ-A8PF
TCGA-VQ-A8PH-01,TCGA-VQ-A8PH
TCGA-VQ-A8PJ-01,TCGA-VQ-A8PJ
TCGA-VQ-A8PK-01,TCGA-VQ-A8PK
TCGA-VQ-A8PM-01,TCGA-VQ-A8PM
TCGA-VQ-A8PO-01,TCGA-VQ-A8PO
TCGA-VQ-A8PP-01,TCGA-VQ-A8PP
TCGA-VQ-A8PQ-01,TCGA-VQ-A8PQ
TCGA-VQ-A8PU-01,TCGA-VQ-A8PU
TCGA-VQ-A8PX-01,TCGA-VQ-A8PX
TCGA-VQ-A91D-01,TCGA-VQ-A91D
TCGA-VQ-A91K-01,TCGA-VQ-A91K
TCGA-VQ-A91N-01,TCGA-VQ-A91N
TCGA-VQ-A91S-01,TCGA-VQ-A91S
TCGA-VQ-A91U-01,TCGA-VQ-A91U
TCGA-VQ-A91V-01,TCGA-VQ-A91V
TCGA-VQ-A91W-01,TCGA-VQ-A91W
TCGA-VQ-A91X-01,TCGA-VQ-A91X
TCGA-VQ-A91Y-01,TCGA-VQ-A91Y
TCGA-VQ-A91Z-01,TCGA-VQ-A91Z
TCGA-VQ-A923-01,TCGA-VQ-A923
TCGA-VQ-A925-01,TCGA-VQ-A925
TCGA-VQ-A928-01,TCGA-VQ-A928
TCGA-VQ-A92D-01,TCGA-VQ-A92D
TCGA-VQ-A94O-01,TCGA-VQ-A94O
TCGA-VQ-A94P-01,TCGA-VQ-A94P
TCGA-VQ-A94R-01,TCGA-VQ-A94R
TCGA-VQ-A94U-01,TCGA-VQ-A94U
TCGA-VQ-AA64-01,TCGA-VQ-AA64
TCGA-VQ-AA69-01,TCGA-VQ-AA69
TCGA-VQ-AA6A-01,TCGA-VQ-AA6A
TCGA-VQ-AA6B-01,TCGA-VQ-AA6B
TCGA-VQ-AA6D-01,TCGA-VQ-AA6D
TCGA-VQ-AA6F-01,TCGA-VQ-AA6F
TCGA-VQ-AA6G-01,TCGA-VQ-AA6G
TCGA-VQ-AA6I-01,TCGA-VQ-AA6I
TCGA-VQ-AA6K-01,TCGA-VQ-AA6K
TCGA-ZA-A8F6-01,TCGA-ZA-A8F6
