sample_barcode,patient_barcode,missing_count,missing_rate
TCGA-VQ-A8E2-01,TCGA-VQ-A8E2,1417,0.6505968778696052
TCGA-VQ-A91U-01,TCGA-VQ-A91U,1430,0.6565656565656566
TCGA-F1-6177-01,TCGA-F1-6177,1319,0.6056014692378329
TCGA-CD-8533-01,TCGA-CD-8533,1277,0.5863177226813591
TCGA-BR-A4QI-01,TCGA-BR-A4QI,1500,0.6887052341597796
TCGA-BR-8059-01,TCGA-BR-8059,1370,0.6290174471992653
TCGA-CD-8527-01,TCGA-CD-8527,1363,0.6258034894398531
TCGA-D7-8570-01,TCGA-D7-8570,1381,0.6340679522497704
TCGA-VQ-A8P2-01,TCGA-VQ-A8P2,1470,0.6749311294765841
TCGA-BR-8297-01,TCGA-BR-8297,1467,0.6735537190082644
TCGA-CG-5723-01,TCGA-CG-5723,1253,0.5752984389348026
TCGA-VQ-A91A-01,TCGA-VQ-A91A,1396,0.6409550045913682
TCGA-D7-8574-01,TCGA-D7-8574,1371,0.6294765840220385
TCGA-BR-8285-01,TCGA-BR-8285,1581,0.7258953168044077
TCGA-HU-A4H8-01,TCGA-HU-A4H8,1421,0.6524334251606979
TCGA-BR-8484-01,TCGA-BR-8484,1529,0.702020202020202
TCGA-3M-AB46-01,TCGA-3M-AB46,1303,0.5982552800734618
TCGA-R5-A7ZE-01,TCGA-R5-A7ZE,1294,0.5941230486685032
TCGA-HJ-7597-01,TCGA-HJ-7597,1552,0.7125803489439853
TCGA-VQ-A8PE-01,TCGA-VQ-A8PE,1266,0.581267217630854
TCGA-HU-A4G8-01,TCGA-HU-A4G8,1500,0.6887052341597796
TCGA-BR-A452-01,TCGA-BR-A452,1493,0.6854912764003673
TCGA-D7-6822-01,TCGA-D7-6822,1090,0.5004591368227732
TCGA-RD-A8N2-01,TCGA-RD-A8N2,1544,0.7089072543617998
TCGA-BR-8286-01,TCGA-BR-8286,1477,0.6781450872359963
TCGA-IN-A7NT-01,TCGA-IN-A7NT,1264,0.5803489439853077
TCGA-CD-5799-01,TCGA-CD-5799,1208,0.5546372819100092
TCGA-BR-8078-01,TCGA-BR-8078,1392,0.6391184573002755
TCGA-R5-A7ZI-01,TCGA-R5-A7ZI,1396,0.6409550045913682
TCGA-IN-A6RN-01,TCGA-IN-A6RN,1439,0.6606978879706152
TCGA-HU-A4HB-01,TCGA-HU-A4HB,1383,0.6349862258953168
TCGA-IN-AB1V-01,TCGA-IN-AB1V,1306,0.5996326905417815
TCGA-BR-8676-01,TCGA-BR-8676,1351,0.6202938475665748
TCGA-MX-A5UG-01,TCGA-MX-A5UG,1404,0.6446280991735537
TCGA-FP-8210-01,TCGA-FP-8210,1347,0.6184573002754821
TCGA-BR-6565-01,TCGA-BR-6565,1279,0.5872359963269054
TCGA-HU-A4GC-01,TCGA-HU-A4GC,1423,0.6533516988062442
TCGA-BR-A4CS-01,TCGA-BR-A4CS,1330,0.610651974288338
TCGA-BR-6801-01,TCGA-BR-6801,1202,0.55188246097337
TCGA-VQ-A8PM-01,TCGA-VQ-A8PM,1352,0.620752984389348
TCGA-CG-5732-01,TCGA-CG-5732,1404,0.6446280991735537
TCGA-CG-5726-01,TCGA-CG-5726,1215,0.5578512396694215
TCGA-VQ-A91Q-01,TCGA-VQ-A91Q,1370,0.6290174471992653
TCGA-BR-8382-01,TCGA-BR-8382,1472,0.6758494031221304
TCGA-BR-6852-01,TCGA-BR-6852,1341,0.6157024793388429
TCGA-CD-A48C-01,TCGA-CD-A48C,1390,0.6382001836547291
TCGA-VQ-AA68-01,TCGA-VQ-AA68,1232,0.5656565656565656
TCGA-BR-8486-01,TCGA-BR-8486,1257,0.5771349862258953
TCGA-FP-8099-01,TCGA-FP-8099,1379,0.6331496786042241
TCGA-VQ-A8PC-01,TCGA-VQ-A8PC,1272,0.5840220385674931
TCGA-HF-7134-01,TCGA-HF-7134,1436,0.6593204775022957
TCGA-IN-A6RR-01,TCGA-IN-A6RR,1496,0.6868686868686869
TCGA-F1-A448-01,TCGA-F1-A448,1415,0.6496786042240588
TCGA-D7-A6EY-01,TCGA-D7-A6EY,1342,0.6161616161616161
TCGA-VQ-A91D-01,TCGA-VQ-A91D,1369,0.6285583103764922
TCGA-BR-7196-01,TCGA-BR-7196,1363,0.6258034894398531
