feature_id,missing_count,missing_rate
MIMAT0018077,363,0.937984496124031
MIMAT0021081,369,0.9534883720930233
MIMAT0021080,359,0.9276485788113695
MIMAT0021083,151,0.39018087855297157
MIMAT0021082,208,0.537467700258398
MIMAT0021085,386,0.9974160206718347
MIMAT0021084,371,0.958656330749354
MIMAT0021086,286,0.7390180878552972
MIMAT0002172,35,0.09043927648578812
MIMAT0002173,40,0.10335917312661498
MIMAT0002170,363,0.937984496124031
MIMAT0002171,1,0.002583979328165375
MIMAT0002176,3,0.007751937984496124
MIMAT0002177,0,0.0
MIMAT0002174,0,0.0
MIMAT0002175,147,0.3798449612403101
MIMAT0002178,105,0.2713178294573643
MIMAT0018104,235,0.6072351421188631
MIMAT0019982,268,0.6925064599483204
MIMAT0019981,268,0.6925064599483204
MIMAT0018107,136,0.35142118863049093
MIMAT0018101,4,0.0103359173126615
MIMAT0018102,191,0.4935400516795866
MIMAT0018103,295,0.7622739018087855
MIMAT0018108,341,0.8811369509043928
MIMAT0018109,385,0.9948320413436692
MIMAT0005876,353,0.9121447028423773
MIMAT0005877,353,0.9121447028423773
MIMAT0005874,73,0.18863049095607234
MIMAT0005875,107,0.27648578811369506
MIMAT0005878,0,0.0
MIMAT0005879,377,0.9741602067183462
MIMAT0019851,382,0.9870801033591732
MIMAT0019850,37,0.09560723514211886
MIMAT0019853,363,0.937984496124031
MIMAT0019852,371,0.958656330749354
MIMAT0019855,341,0.8811369509043928
MIMAT0019854,362,0.9354005167958657
MIMAT0019857,318,0.8217054263565892
MIMAT0019856,229,0.5917312661498708
MIMAT0019859,347,0.896640826873385
MIMAT0019858,315,0.813953488372093
MIMAT0022833,135,0.3488372093023256
MIMAT0015036,371,0.958656330749354
MIMAT0000736,0,0.0
MIMAT0000737,0,0.0
MIMAT0000734,66,0.17054263565891473
MIMAT0000735,204,0.5271317829457365
MIMAT0000732,0,0.0
MIMAT0000733,0,0.0
MIMAT0000730,24,0.06201550387596899
MIMAT0000731,0,0.0
MIMAT0000738,154,0.3979328165374677
MIMAT0010251,361,0.9328165374677002
MIMAT0000280,0,0.0
MIMAT0000281,0,0.0
MIMAT0002828,374,0.9664082687338501
MIMAT0002829,378,0.9767441860465116
MIMAT0022939,361,0.9328165374677002
MIMAT0002824,366,0.9457364341085271
MIMAT0002825,363,0.937984496124031
MIMAT0002826,350,0.9043927648578811
MIMAT0002827,353,0.9121447028423773
MIMAT0002820,0,0.0
MIMAT0002821,0,0.0
MIMAT0002822,354,0.9147286821705426
MIMAT0002823,266,0.6873385012919897
MIMAT0027690,373,0.9638242894056848
MIMAT0027691,314,0.8113695090439277
MIMAT0027454,205,0.5297157622739018
MIMAT0027455,365,0.9431524547803618
MIMAT0027456,385,0.9948320413436692
MIMAT0027457,379,0.979328165374677
MIMAT0027103,109,0.28165374677002586
MIMAT0027452,345,0.8914728682170543
MIMAT0027453,372,0.9612403100775194
MIMAT0027458,277,0.7157622739018088
MIMAT0027459,363,0.937984496124031
MIMAT0004703,0,0.0
MIMAT0004702,1,0.002583979328165375
MIMAT0004701,1,0.002583979328165375
MIMAT0004700,3,0.007751937984496124
MIMAT0000462,153,0.3953488372093023
MIMAT0027675,320,0.8268733850129198
MIMAT0000460,0,0.0
MIMAT0000461,0,0.0
MIMAT0027670,363,0.937984496124031
MIMAT0027671,308,0.7958656330749354
MIMAT0027672,373,0.9638242894056848
MIMAT0027673,340,0.8785529715762274
MIMAT0025473,343,0.8863049095607235
MIMAT0000510,0,0.0
MIMAT0019226,369,0.9534883720930233
MIMAT0019227,362,0.9354005167958657
MIMAT0019224,366,0.9457364341085271
MIMAT0019225,260,0.6718346253229974
MIMAT0019222,377,0.9741602067183462
MIMAT0019223,383,0.9896640826873385
MIMAT0019220,265,0.6847545219638242
MIMAT0019221,36,0.09302325581395349
MIMAT0019228,360,0.9302325581395349
MIMAT0019229,116,0.2997416020671835
MIMAT0003948,316,0.8165374677002584
MIMAT0003945,233,0.6020671834625323
MIMAT0031181,384,0.9922480620155039
