sample_barcode,patient_barcode,CNV_NMF1,CNV_NMF2,CNV_NMF3,CNV_NMF4,CNV_NMF5,CNV_NMF6,CNV_NMF7,CNV_NMF8,CNV_NMF9,CNV_NMF10,CNV_NMF11,CNV_NMF12,CNV_NMF13,CNV_NMF14,CNV_NMF15
TCGA-BR-8059-01,TCGA-BR-8059,0.4022947350829091,0.8889988792087786,0.016178335520588335,0.3160181641421326,0.3611829647043974,0.1607453942240285,0.23281367422102678,0.38033407423101845,0.7319108409192673,0.005609811099408145,0.2264949943979227,0.3836608347314166,0.06319808625008984,0.3469756895729295,0.369527576311715
TCGA-BR-8060-01,TCGA-BR-8060,0.12600801215635543,4.1634922987189324e-05,0.7264034134562309,0.3417562692112131,0.89197267155468,0.6661513315898857,0.6339937654018892,0.12966230924616842,0.3826294920363617,6.062522725888319e-06,5.716937210483643e-07,0.002551064926193306,0.36453289077816503,0.4499059394638836,1.2743950310414172e-05
TCGA-BR-8080-01,TCGA-BR-8080,0.4108898119378778,0.2664025370159653,0.22369433684029374,0.500372959246127,0.0019661681802953792,0.3350236888538068,0.5155607117784609,0.011180435062682967,0.13803661688779145,0.4791277994001208,0.31161967442859856,0.5801389636700811,0.2790017169321189,0.10386710244198509,0.7185953413261961
TCGA-BR-8081-01,TCGA-BR-8081,0.2365546500353112,0.3497926823093327,0.36190021024966906,0.28174843089781415,0.22537178497950985,0.17384249053301024,0.27206553961246055,0.3394587656268462,0.2324025907007327,0.11366578757543852,0.38438051392440253,0.33629864220339745,0.2573531679029036,0.16347535476770436,0.39145077044642784
TCGA-BR-8284-01,TCGA-BR-8284,0.08910381534068139,0.7034791177012076,0.2319419637768627,0.24724816085411427,0.24403568163990477,0.23233196019746552,0.23948672584001937,0.6799678925489606,0.45036455614036963,0.21301773065068771,0.2474952484962951,0.2857383450231008,0.4216925546519494,0.2891291528086323,0.6907768253708845
TCGA-BR-8286-01,TCGA-BR-8286,0.44593466483265637,0.9573032937413408,0.003340713254569255,0.35509833284260317,0.11589420434490635,0.3332531646289852,0.00010980245418997062,0.2021098885909687,0.20949333169776824,0.18189528712341613,0.09925171503763869,0.30352074321285927,0.5567020415834105,0.14369104034767716,0.49668240134246305
TCGA-BR-8289-01,TCGA-BR-8289,0.2542174819385954,0.4969310723541076,0.36051292589893424,0.6229800410082438,0.6196365920014353,1.5628569369533757e-09,0.5775993017483023,0.13841386626861946,0.4318593143010247,0.0266255269627809,0.131015347429753,0.4896880550733591,0.40806203539190217,0.10405302970582057,0.12353332096038071
TCGA-BR-8291-01,TCGA-BR-8291,0.005206689467111334,0.038095636930284525,0.9858272526056916,0.39361161452695026,0.10104948411138041,0.10219559778420786,1.6840991446187297e-14,0.17333944162868026,0.39767903274929856,0.39460896042396887,0.6464937930270999,0.000168144242520713,0.3189955281400659,0.168750228572494,0.033444898699451456
TCGA-BR-8295-01,TCGA-BR-8295,0.19241701437561987,0.6643469845271797,0.5001948834632923,0.5118797758511163,0.0010417957752718765,0.3491933814823359,0.44852494901306456,0.28197502130145774,0.38840755269079064,0.009515523139377702,0.3721915657427503,0.5932702196476611,1.0501203362885487e-06,0.2690553364606708,0.6964765881422892
TCGA-BR-8296-01,TCGA-BR-8296,0.2422844122947084,0.8148086902035837,0.07378252788249207,0.2795592525563213,0.5202819072188193,0.22477015835569128,0.26143607742842506,0.00012072668645879493,0.4245775449848315,0.11739552750933344,0.14028432391797027,0.3164321097151649,0.3632056088563885,0.35398925873382103,0.7747503806340825
